Source,Target,Weight
hIDR1,TOP2A,1
hIDR1,DDX21,1
hIDR1,DHX9,1
hIDR1,PDCD11,1
hIDR1,SMARCA5,1
hIDR1,SNRNP200,1
hIDR1,MSH6,1
hIDR1,RCC2,1
hIDR1,DNMT1,1
hIDR1,PRPF8,1
hIDR1,MCM5,1
hIDR1,RPL3,1
hIDR1,SUPT16H,1
hIDR1,CHD4,1
hIDR1,CAD,1
hIDR1,DDX18,1
hIDR1,FASN,1
hIDR1,MKI67,1
hIDR1,DKC1,1
hIDR1,NAT10,1
hIDR1,DHX15,1
hIDR1,TBL3,1
hIDR1,NOP2,1
hIDR1,KRT6A,1
hIDR1,RBM28,1
hIDR1,NOL6,1
hIDR1,KRT5,1
hIDR1,WDR43,1
hIDR1,KRT14,1
hIDR1,WDR3,1
hIDR1,UTP20,1
hIDR1,KRT17,1
hIDR1,SMC3,1
hIDR1,GTPBP4,1
hIDR1,KRT42,1
hIDR1,RPL5,1
hIDR1,BOP1,1
hIDR1,SUZ12,1
hIDR1,TOP1,1
hIDR1,POLR2A,1
hIDR1,BAZ2A,1
hIDR1,BAZ1B,1
hIDR1,SMC1A,1
hIDR1,POLR2B,1
hIDR1,WDR46,1
hIDR1,H1_1,1
hIDR1,UTP14A,1
hIDR1,ORC1,1
hIDR1,URB1,1
hIDR1,DDX27,1
hIDR1,TOP2B,1
hIDR1,SMARCA4,1
hIDR1,DARS1,1
hIDR1,KRT75,1
hIDR1,DDX47,1
hIDR1,UTP4,1
hIDR1,UTP15,1
hIDR1,SMC4,1
hIDR1,LBR,1
hIDR1,SF3B3,1
hIDR1,KRT16,1
hIDR1,COPA,1
hIDR1,DDX24,1
hIDR1,KRT2,1
hIDR1,MOV10,1
hIDR1,PPAN,1
hIDR1,NUP133,1
hIDR1,JADE1,1
hIDR1,MTF2,1
hIDR1,SMU1,1
hIDR1,NUP155,1
hIDR1,KRT79,1
hIDR1,DIS3,1
hIDR1,RRP9,1
hIDR1,SYNCRIP,1
hIDR1,LRWD1,1
hIDR1,PAK1IP1,1
hIDR1,NMT1,1
hIDR1,ABCE1,1
hIDR1,KAT7,1
hIDR1,DDX6,1
hIDR1,DDB1,1
hIDR1,PLRG1,1
hIDR1,KMT2B,1
hIDR1,NOL11,1
hIDR1,HSD17B4,1
hIDR1,KDM5B,1
hIDR1,DDX54,1
hIDR1,NUP160,1
hIDR1,GLYR1,1
hIDR1,NOL10,1
hIDR1,DDX51,1
hIDR1,KRT77,1
hIDR1,USP10,1
hIDR1,MVP,1
hIDR1,PRMT1,1
hIDR1,POGZ,1
hIDR1,KRT8,1
hIDR1,KDM1A,1
hIDR1,UTP6,1
hIDR1,DDX10,1
hIDR1,GTF2I,1
hIDR1,AHCTF1,1
hIDR1,CLUH,1
hIDR1,KRT1,1
hIDR1,PFKL,1
hIDR1,USP48,1
hIDR1,WDR75,1
hIDR1,POLR1A,1
hIDR1,KRT76,1
hIDR1,MDC1,1
hIDR1,DDX42,1
hIDR1,NMT2,1
hIDR1,EIF2A,1
hIDR1,DCAF13,1
hIDR1,PWP2,1
hIDR1,SMCHD1,1
hIDR1,DDX46,1
hIDR1,PHIP,1
hIDR1,FN1,1
hIDR1,NSD1,1
hIDR1,BCLAF1,1
hIDR1,WDR18,1
hIDR1,SRRM2,1
hIDR1,JARID2,1
hIDR1,FXR2,1
hIDR1,ZNF512,1
hIDR1,DNMT3B,1
hIDR1,SRBD1,1
hIDR1,RBMX,1
hIDR1,KIF2C,1
hIDR1,MORC3,1
hIDR1,RBPJ,1
hIDR1,SENP3,1
hIDR1,INCENP,1
hIDR1,DIEXF,1
hIDR1,ZFP57,1
hIDR1,USP36,1
